time,cpu,mem,http%,lat_avg,lat_p95,throughput,tcp_est,tcp_syn,udp,loss,alert
21:24:26,71.3,66.6,100.0,65.8,95.7,0.17,2,0,0,25.0,LEARNING BASELINE
21:24:31,92.9,67.0,100.0,22.9,30.1,0.33,2,0,0,25.0,LEARNING BASELINE
21:24:36,11.3,67.7,100.0,19.6,28.3,0.5,2,0,0,25.0,LEARNING BASELINE
21:24:41,1.0,67.8,100.0,15.5,21.4,0.67,2,0,0,25.0,LEARNING BASELINE
21:24:45,10.1,67.7,100.0,27.7,42.2,0.83,2,0,0,0.0,LEARNING BASELINE
21:24:50,11.5,68.8,100.0,12.1,15.6,1.0,2,0,0,0.0,LEARNING BASELINE
21:51:00,68.0,71.7,100.0,42.7,64.0,0.17,0,0,0,25.0,LEARNING BASELINE
21:51:05,54.3,71.2,100.0,15.4,18.4,0.33,0,0,0,25.0,LEARNING BASELINE
21:51:10,6.2,71.5,100.0,14.5,20.0,0.5,0,0,0,50.0,LEARNING BASELINE
21:51:15,7.2,70.2,100.0,24.9,40.5,0.67,0,0,0,25.0,LEARNING BASELINE
21:51:19,89.1,66.5,100.0,18.0,23.8,0.83,0,0,0,0.0,LEARNING BASELINE
21:51:25,96.0,70.9,100.0,12.0,16.8,1.0,0,0,0,50.0,LEARNING BASELINE
21:51:31,71.9,73.7,100.0,37.5,55.4,1.17,0,0,0,100.0,LEARNING BASELINE
21:51:36,87.5,73.1,100.0,19.3,29.0,1.33,0,0,0,25.0,LEARNING BASELINE
21:51:40,31.9,73.3,100.0,22.2,33.6,1.5,0,0,0,0.0,LEARNING BASELINE
21:51:46,46.3,73.8,100.0,25.2,38.6,1.67,0,0,0,50.0,LEARNING BASELINE
21:51:50,49.5,71.9,100.0,19.3,23.7,1.83,0,0,0,0.0,LEARNING BASELINE
21:51:56,90.8,72.7,100.0,23.4,31.1,2.0,0,0,0,25.0,SAFE
21:52:00,55.3,72.4,100.0,30.2,39.4,2.0,0,0,0,0.0,SAFE
21:52:06,77.7,71.3,100.0,26.4,37.6,2.0,0,0,0,50.0,MONITORING | Loss:50%
21:52:10,92.9,72.0,100.0,18.1,27.6,2.0,0,0,0,0.0,SAFE
21:52:15,78.7,71.6,100.0,17.3,31.7,2.0,0,0,0,0.0,SAFE
21:52:21,64.2,71.9,100.0,14.0,19.2,2.0,0,0,0,25.0,SAFE
21:52:26,66.0,72.0,100.0,16.8,25.0,2.0,0,0,0,75.0,MONITORING | Loss:75%
21:52:32,58.5,72.3,100.0,26.7,44.2,2.0,0,0,0,100.0,MONITORING | Loss:100%
21:52:36,92.9,72.3,100.0,16.0,21.1,2.0,0,0,0,0.0,SAFE
21:52:42,62.9,73.3,100.0,28.1,44.8,2.0,0,0,0,25.0,SAFE
21:52:47,70.8,73.7,100.0,26.1,31.4,2.0,0,0,0,25.0,SAFE
21:52:52,28.7,73.7,100.0,9.3,14.5,2.0,0,0,0,50.0,MONITORING | Loss:50%
21:52:56,92.9,74.2,100.0,26.2,31.8,2.0,0,0,0,0.0,SAFE
21:53:02,81.4,74.0,100.0,14.1,18.9,2.0,0,0,0,50.0,MONITORING | Loss:50%
21:53:07,25.0,74.0,100.0,12.9,16.7,2.0,0,0,0,50.0,MONITORING | Loss:50%
21:53:12,81.9,74.1,100.0,19.3,21.1,2.0,0,0,0,50.0,UNDER ATTACK: Network Attack | Packet Loss:50%
21:53:16,86.5,74.1,100.0,16.6,26.1,2.0,0,0,0,0.0,SAFE
21:53:22,17.7,74.2,100.0,26.4,37.3,2.0,0,0,0,25.0,SAFE
21:53:27,39.6,74.6,100.0,13.0,16.7,2.0,0,0,0,75.0,MONITORING | Loss:75%
21:53:33,34.0,74.6,100.0,14.3,24.6,2.0,0,0,0,100.0,MONITORING | Loss:100%
21:53:36,86.7,75.7,100.0,23.0,33.2,2.0,0,0,0,0.0,SAFE
21:53:42,45.3,75.7,100.0,38.5,49.8,2.0,0,0,0,50.0,MONITORING | Loss:50%
21:53:47,24.5,75.9,100.0,16.4,23.3,2.0,0,0,0,25.0,SAFE
21:53:52,74.5,75.5,100.0,22.1,34.2,2.0,0,0,0,25.0,SAFE
21:53:57,26.0,74.7,100.0,15.1,19.5,2.0,0,0,0,50.0,MONITORING | Loss:50%
21:54:01,30.3,74.8,100.0,54.0,77.5,2.0,0,0,0,0.0,MONITORING | p95:78ms
21:54:08,77.1,74.6,100.0,13.8,22.6,2.0,0,0,0,25.0,SAFE
21:54:12,78.4,75.1,100.0,36.4,56.5,2.0,0,0,0,0.0,SAFE
21:54:17,19.1,74.5,100.0,13.3,18.2,2.0,0,0,0,25.0,SAFE
21:54:21,33.7,75.4,100.0,27.7,38.8,2.0,0,0,0,0.0,SAFE
21:54:27,31.2,75.6,100.0,14.9,20.4,2.0,0,0,0,75.0,MONITORING | Loss:75%
21:54:33,22.3,75.6,100.0,18.2,28.7,2.0,0,0,0,100.0,MONITORING | Loss:100%
21:54:38,83.7,75.9,100.0,19.3,23.2,2.0,0,0,0,50.0,UNDER ATTACK: Network Attack | Packet Loss:50%
21:54:43,84.8,76.0,100.0,11.3,15.7,2.0,0,0,0,25.0,SAFE
21:54:47,87.8,76.3,100.0,15.2,21.6,2.0,0,0,0,0.0,SAFE
21:54:53,68.9,80.8,100.0,25.5,34.4,2.0,0,0,0,25.0,SAFE
21:54:58,94.8,85.4,100.0,219.1,362.4,2.0,0,0,0,0.0,MONITORING | p95:362ms
21:55:06,100.0,81.8,100.0,106.6,140.5,2.0,0,0,10000,0.0,SAFE
21:55:14,98.2,81.2,100.0,200.9,250.1,2.0,0,0,10000,25.0,MONITORING | p95:250ms
21:55:22,100.0,79.3,100.0,146.5,246.9,1.83,0,0,10000,25.0,UNDER ATTACK: UDP Flood | 10000 packets/5s
21:55:29,99.0,79.1,100.0,241.5,400.9,1.67,0,0,10000,75.0,UNDER ATTACK: UDP Flood | 10000 packets/5s
